weight,hhsize,hhtype3,adj_welfare,adj_factor,pmt,pov,decile,female_head,current_oldA,value_oldA,current_childA,value_childA,current_disabA,value_disabA,current_B,value_B,rural,age,age5yrs,sex,pension,disab,hhid
61.419216,3,Other household types,229.95253,1,5.9266973,0,5,1,1,50,0,0,0,0,0,0,0,45,9,1,0,0,581
30.709608,6,"Couple household, with children",792.89954,1,6.4089394,0,10,0,0,0,0,0,0,0,0,0,0,35,7,1,0,0,582
30.709608,6,"Couple household, with children",792.89954,1,6.4089394,0,10,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,582
30.709608,6,"Couple household, with children",792.89954,1,6.4089394,0,10,0,0,0,0,0,0,0,0,0,0,7,1,1,0,0,582
30.709608,6,"Couple household, with children",792.89954,1,6.4089394,0,10,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,582
30.709608,6,"Couple household, with children",792.89954,1,6.4089394,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582
69.565392,2,"Couple household, with no children",191.5731,1,5.2315516,0,4,0,1,75,0,0,0,0,0,0,1,76,15,1,0,0,584
23.188463,6,"Couple household, with children",164.59978,1,5.068037,0,3,0,0,0,0,0,0,0,0,0,1,54,10,1,0,0,585
23.188463,6,"Couple household, with children",164.59978,1,5.068037,0,3,0,0,0,0,0,0,0,0,0,1,36,7,0,0,0,585
23.188463,6,"Couple household, with children",164.59978,1,5.068037,0,3,0,0,0,0,0,0,0,0,0,1,38,7,1,0,0,585
23.188463,6,"Couple household, with children",164.59978,1,5.068037,0,3,0,0,0,0,0,0,0,0,0,1,9,1,1,0,0,585
23.188463,6,"Couple household, with children",164.59978,1,5.068037,0,3,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,585
82.041534,3.0000002,"Couple household, with no children",250.27637,1,5.6201673,0,5,0,0,0,0,0,0,0,0,0,0,51,10,1,0,0,586
82.041534,3.0000002,"Couple household, with no children",250.27637,1,5.6201673,0,5,0,0,0,0,0,0,0,0,0,0,23,4,1,0,0,586
46.534809,4,"Couple household, with no children",231.14784,1,5.6764469,0,5,0,0,0,0,0,0,0,0,0,1,48,9,1,0,0,587
46.534809,4,"Couple household, with no children",231.14784,1,5.6764469,0,5,0,0,0,0,0,0,0,0,0,1,26,5,0,0,0,587
46.534809,4,"Couple household, with no children",231.14784,1,5.6764469,0,5,0,0,0,0,0,0,0,0,0,1,20,4,0,0,0,587
46.376926,3,"Couple household, with no children",476.32681,1,5.8308015,0,9,0,0,0,0,0,0,0,0,0,1,38,7,1,0,0,589
46.376926,3,"Couple household, with no children",476.32681,1,5.8308015,0,9,0,0,0,0,0,0,0,0,0,1,19,3,0,0,0,589
19.875826,7,Three generation household,228.86119,1,5.107657,0,5,1,1,21.428572,0,0,0,0,0,0,1,49,9,0,0,1,590
19.875826,7,Three generation household,228.86119,1,5.107657,0,5,1,1,21.428572,0,0,0,0,0,0,1,43,8,0,0,0,590
19.875826,7,Three generation household,228.86119,1,5.107657,0,5,1,1,21.428572,0,0,0,0,0,0,1,36,7,1,0,0,590
19.875826,7,Three generation household,228.86119,1,5.107657,0,5,1,1,21.428572,0,0,0,0,0,0,1,16,3,0,0,0,590
19.875826,7,Three generation household,228.86119,1,5.107657,0,5,1,1,21.428572,0,0,0,0,0,0,1,15,3,1,0,0,590
19.875826,7,Three generation household,228.86119,1,5.107657,0,5,1,1,21.428572,0,0,0,0,0,0,1,5,1,0,0,0,590
19.875826,7,Other household types,124.48779,1,5.2798076,1,2,1,0,0,0,0,0,0,0,0,1,31,6,0,0,0,592
19.875826,7,Other household types,124.48779,1,5.2798076,1,2,1,0,0,0,0,0,0,0,0,1,31,6,1,0,0,592
19.875826,7,Other household types,124.48779,1,5.2798076,1,2,1,0,0,0,0,0,0,0,0,1,12,2,1,0,0,592
19.875826,7,Other household types,124.48779,1,5.2798076,1,2,1,0,0,0,0,0,0,0,0,1,9,1,1,0,0,592
19.875826,7,Other household types,124.48779,1,5.2798076,1,2,1,0,0,0,0,0,0,0,0,1,5,1,0,0,0,592
19.875826,7,Other household types,124.48779,1,5.2798076,1,2,1,0,0,0,0,0,0,0,0,1,4,0,0,0,1,592
69.565392,2,Other household types,314.90329,1,5.2353358,0,7,1,0,0,0,0,0,0,0,0,1,26,5,0,0,0,593
23.188463,6,Three generation household,353.2319,1,5.6174064,0,8,1,1,25,0,0,0,0,0,0,1,48,9,1,0,0,594
23.188463,6,Three generation household,353.2319,1,5.6174064,0,8,1,1,25,0,0,0,0,0,0,1,28,5,0,0,0,594
23.188463,6,Three generation household,353.2319,1,5.6174064,0,8,1,1,25,0,0,0,0,0,0,1,24,4,1,0,0,594
23.188463,6,Three generation household,353.2319,1,5.6174064,0,8,1,1,25,0,0,0,0,0,0,1,4,0,0,0,0,594
23.188463,6,Three generation household,353.2319,1,5.6174064,0,8,1,1,25,0,0,0,0,0,0,1,3,0,1,0,1,594
27.826157,5,"Couple household, with children",148.14853,1,5.5449491,0,2,0,0,0,0,0,0,0,0,0,1,48,9,1,0,0,595
27.826157,5,"Couple household, with children",148.14853,1,5.5449491,0,2,0,0,0,0,0,0,0,0,0,1,21,4,0,0,0,595
27.826157,5,"Couple household, with children",148.14853,1,5.5449491,0,2,0,0,0,0,0,0,0,0,0,1,16,3,1,0,0,595
27.826157,5,"Couple household, with children",148.14853,1,5.5449491,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,595
46.376926,3,"Couple household, with children",380.94296,1,5.5199962,0,8,0,0,0,0,0,0,0,0,0,1,44,8,1,0,0,596
