weight,hhsize,hhtype3,adj_welfare,adj_factor,pmt,pov,decile,female_head,current_oldA,value_oldA,current_childA,value_childA,current_disabA,value_disabA,current_B,value_B,rural,age,age5yrs,sex,pension,disab,hhid
193.5097351074219,6,"Couple household, with children",3443.3872,1,7.9995561,0,4,0,0,0,0,0,0,0,0,0,0,13,2,Женский,0,0,3119
193.5097351074219,6,"Couple household, with children",3443.3872,1,7.9995561,0,4,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,3119
193.5097351074219,6,"Couple household, with children",3443.3872,1,7.9995561,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3119
187.3603057861328,7,Three generation household,2445.2107,1,7.9276714,100,2,1,0,0,0,0,0,0,0,0,0,41,8,0,0,1,3120
187.3603057861328,7,Three generation household,2445.2107,1,7.9276714,100,2,1,0,0,0,0,0,0,0,0,0,35,7,Женский,0,0,3120
187.3603057861328,7,Three generation household,2445.2107,1,7.9276714,100,2,1,0,0,0,0,0,0,0,0,0,15,3,Женский,0,0,3120
187.3603057861328,7,Three generation household,2445.2107,1,7.9276714,100,2,1,0,0,0,0,0,0,0,0,0,14,2,Женский,0,0,3120
187.3603057861328,7,Three generation household,2445.2107,1,7.9276714,100,2,1,0,0,0,0,0,0,0,0,0,8,1,Женский,0,0,3120
187.3603057861328,7,Three generation household,2445.2107,1,7.9276714,100,2,1,0,0,0,0,0,0,0,0,0,1,0,Женский,0,0,3120
172.9856109619141,7,Three generation household,3125.6292,1,7.8730426,0,3,0,1,0,0,0,0,0,0,0,0,67,13,Женский,0,0,3121
172.9856109619141,7,Three generation household,3125.6292,1,7.8730426,0,3,0,1,0,0,0,0,0,0,0,0,34,6,0,0,0,3121
172.9856109619141,7,Three generation household,3125.6292,1,7.8730426,0,3,0,1,0,0,0,0,0,0,0,0,35,7,Женский,0,0,3121
172.9856109619141,7,Three generation household,3125.6292,1,7.8730426,0,3,0,1,0,0,0,0,0,0,0,0,8,1,Женский,0,0,3121
172.9856109619141,7,Three generation household,3125.6292,1,7.8730426,0,3,0,1,0,0,0,0,0,0,0,0,4,0,Женский,0,0,3121
172.9856109619141,7,Three generation household,3125.6292,1,7.8730426,0,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3121
190.6046752929688,5,"Couple household, with children",4481.8921,1,8.1828499,0,6,0,0,0,0,0,0,0,0,0,0,27,5,Женский,0,0,3122
190.6046752929688,5,"Couple household, with children",4481.8921,1,8.1828499,0,6,0,0,0,0,0,0,0,0,0,0,11,2,Женский,0,0,3122
190.6046752929688,5,"Couple household, with children",4481.8921,1,8.1828499,0,6,0,0,0,0,0,0,0,0,0,0,5,1,Женский,0,0,3122
190.6046752929688,5,"Couple household, with children",4481.8921,1,8.1828499,0,6,0,0,0,0,0,0,0,0,0,0,2,0,Женский,0,0,3122
174.1925201416016,8,Three generation household,3036.3501,1,7.9426751,0,3,0,0,0,0,0,0,0,0,0,0,58,11,Женский,0,0,3123
174.1925201416016,8,Three generation household,3036.3501,1,7.9426751,0,3,0,0,0,0,0,0,0,0,0,0,31,6,0,0,0,3123
174.1925201416016,8,Three generation household,3036.3501,1,7.9426751,0,3,0,0,0,0,0,0,0,0,0,0,31,6,Женский,0,0,3123
