hhid,weight,hhsize,hhtype3,adj_welfare,adj_factor,pmt,pov,decile,female_head,current_oldA,value_oldA,current_childA,value_childA,current_disabA,value_disabA,current_B,value_B,rural,age,age5yrs,sex,pension,disab
30290,890.8807983398438,5,"Couple household, with children",6438.5156,1,8.4187593,0,8,0,0,0,0,0,0,0,0,0,0,58,11,0,0,1
30291,862.2597045898438,5,Three generation household,4869.811,1,8.233489,0,6,1,0,0,0,0,0,0,0,0,0,73,14,Женский,0,0
30292,990.3921508789063,3,Other household types,6158.5503,1,8.6173029,0,8,1,0,0,0,0,0,0,0,0,0,60,12,Женский,0,1
30293,657.5326538085938,4,"Couple household, with children",5049.1973,1,8.3930721,0,7,0,0,0,0,0,0,0,0,0,0,49,9,0,0,0
30294,683.458740234375,4,"Couple household, with children",5102.2056,1,8.3253536,0,7,0,0,0,0,0,0,0,0,0,0,49,9,0,0,1
30295,692.3444213867188,5,"Couple household, with children",7113.0039,1,8.3250723,0,9,0,0,0,0,0,0,0,0,0,0,51,10,0,0,0
30296,716.4190673828125,5,"Couple household, with children",4804.6445,1,8.3266182,0,6,0,0,0,0,0,0,0,0,0,0,59,11,0,0,0
30297,808.5635375976563,4,Single parent/caregiver (<60 years),5152.7461,1,8.2468185,0,7,1,0,0,0,0,0,0,0,0,0,42,8,Женский,0,0
30298,214.5496215820313,6,"Couple household, with children",2499.5598,1,8.1121769,100,1,0,0,0,0,0,0,0,0,0,1,51,10,0,0,0
30300,181.1980895996094,6,"Couple household, with children",2565.3352,1,8.1885519,100,1,0,0,0,0,0,0,0,0,0,1,48,9,0,0,0
30302,135.1883544921875,5,Three generation household,2808.0828,1,8.2276077,100,2,0,1,0,0,0,0,0,0,0,1,81,16,0,0,0
30304,237.4407653808594,4,Other household types,3418.8008,1,8.3503752,0,3,1,0,0,0,0,0,0,0,0,1,46,9,Женский,0,0
30307,205.7189788818359,2,Other household types,4835.3164,1,8.867445,0,6,1,0,0,0,0,0,0,0,0,1,58,11,Женский,0,0
30308,160.9503784179688,4,"Couple household, with children",3240.5032,1,8.4965162,0,3,0,0,0,0,0,0,0,0,0,1,52,10,0,0,0
30309,94.13947296142578,2,"Couple household, with no children",4299.0527,1,8.70786,0,5,0,1,0,0,0,0,0,0,0,1,67,13,0,0,0
30310,235.0746612548828,4,"Couple household, with children",3257.6853,1,8.365943,0,3,0,0,0,0,0,0,0,0,0,1,35,7,0,0,0
30311,157.5706176757813,4,Three generation household,3360.3069,1,8.3582401,0,3,0,0,0,0,0,0,0,0,0,1,60,12,0,0,0
30313,195.4819183349609,3,"Couple household, with no children",5501.1851,1,8.5771446,0,7,0,0,0,0,0,0,0,0,0,1,53,10,0,0,1
30314,218.1053771972656,5,"Couple household, with children",2696.3264,1,8.2435741,100,2,0,0,0,0,0,0,0,0,0,1,56,11,0,0,0
30315,191.2938385009766,7,Three generation household,2687.9727,1,8.0961447,100,2,0,1,0,0,0,0,0,0,0,1,68,13,0,0,0
30317,204.6082763671875,6,Three generation household,2793.4829,1,8.1995211,100,2,1,0,0,0,0,0,0,0,0,1,69,13,Женский,0,0
30319,175.6489105224609,3,Skipped generation,3700.3386,1,8.3357821,0,4,1,0,0,0,0,1,0,0,0,1,61,12,Женский,0,1
30320,562.10693359375,4,Other household types,3901.6094,1,8.380414,0,4,1,0,0,0,0,0,0,0,0,0,80,16,Женский,0,0
30324,845.7890014648438,6,"Couple household, with children",2551.4297,1,8.1713037,100,1,0,0,0,0,0,0,0,0,0,0,44,8,0,0,0
30325,843.0629272460938,6,Three generation household,2360.8699,1,8.139411,100,1,0,1,0,0,0,0,0,0,0,0,84,16,0,0,1
30326,689.047607421875,5,"Couple household, with children",2967.3972,1,8.2805014,0,2,0,0,0,0,0,0,0,0,0,0,59,11,0,0,1
30327,752.4099731445313,5,"Couple household, with children",2738.061,1,8.2414646,100,2,0,0,0,0,0,0,0,0,0,0,50,10,0,0,0
30328,717.6052856445313,4,"Couple household, with no children",3164.1082,1,8.4360514,0,3,0,1,0,0,0,0,0,0,0,0,70,14,0,0,1
30330,566.739990234375,3,"Couple household, with no children",3988.7664,1,8.6575871,0,5,0,1,0,0,0,0,0,0,0,0,67,13,0,0,0
30331,775.68115234375,6,Three generation household,2755.3408,1,8.1993675,100,2,1,0,0,0,0,0,0,0,0,0,64,12,Женский,0,0
30334,679.1173706054688,5,"Couple household, with children",3331.8596,1,8.2755222,0,3,0,0,0,0,0,0,0,0,0,0,49,9,0,0,0
30335,784.8421020507813,6,Three generation household,2731.7759,1,8.2071266,100,2,1,0,0,0,0,0,0,0,0,0,60,12,Женский,0,0
30337,706.356689453125,6,"Couple household, with children",2523.9402,1,8.1382914,100,1,0,0,0,0,0,0,0,0,0,0,53,10,0,0,0
30339,545.8181762695313,1,"One-person household, 18-59 years",4422.4951,1,8.9096022,0,6,1,0,0,0,0,0,0,0,0,0,46,9,Женский,0,0
30340,975.1680908203125,4,Other household types,2943.4478,1,8.5224304,0,2,0,1,0,0,0,0,0,0,0,0,67,13,0,0,1
30341,816.9893188476563,4,"Couple household, with children",3311.8933,1,8.4272881,0,3,0,0,0,0,0,0,0,0,0,0,39,7,0,0,0
30344,591.2877197265625,4,Three generation household,4618.9614,1,8.3536844,0,6,0,1,0,0,0,0,0,0,0,0,83,16,0,0,0
30345,502.9435119628906,3,Three generation household,5960.791,1,8.5720015,0,8,0,0,0,0,0,0,0,0,0,0,62,12,0,0,0
30346,619.3179931640625,3,"Couple household, with children",5890.7749,1,8.4872532,0,8,0,0,0,0,0,0,0,0,0,0,48,9,0,0,0
30347,815.309326171875,4,"Couple household, with children",3919.2466,1,8.3576212,0,5,0,0,0,0,0,0,0,0,0,0,39,7,0,0,0
30348,614.7549438476563,3,"Couple household, with no children",6349.0059,1,8.7265568,0,8,0,0,0,0,0,0,0,0,0,0,59,11,0,0,0
30349,575.6094970703125,5,Three generation household,3198.0017,1,8.2250891,0,3,0,1,0,0,0,0,0,0,0,0,75,15,0,0,0
30350,583.8548583984375,2,Other household types,6083.7417,1,8.7612801,0,8,1,0,0,0,0,0,0,0,0,0,63,12,Женский,0,1
30352,840.1527709960938,4,Three generation household,4642.188,1,8.3633614,0,6,1,0,0,0,0,0,0,0,0,0,77,15,Женский,0,1
30353,812.5270385742188,5,"Couple household, with children",4552.1567,1,8.3916645,0,6,0,0,0,0,0,0,0,0,0,0,52,10,0,0,1
30354,636.61572265625,3,"Couple household, with children",5547.1465,1,8.6075201,0,7,0,0,0,0,0,0,0,0,0,0,55,11,0,0,0
30355,736.9905395507813,5,"Couple household, with children",5037.7676,1,8.3916645,0,7,0,0,0,0,0,0,0,0,0,0,52,10,0,0,0
30356,565.3018188476563,3,Three generation household,6108.606,1,8.6046772,0,8,0,0,0,0,0,0,0,0,0,0,60,12,0,0,0
30357,883.6557006835938,4,"Couple household, with children",5251.9111,1,8.2791567,0,7,0,0,0,0,0,0,0,0,0,0,37,7,0,0,0
30358,787.6338500976563,6,"Couple household, with children",4098.6221,1,8.1384954,0,5,0,0,0,0,0,1,0,0,0,0,58,11,0,0,0
30360,806.3377685546875,6,Three generation household,3399.8032,1,8.05972,0,3,1,0,0,0,0,0,0,0,0,0,81,16,Женский,0,0
30362,826.1239013671875,7,"Couple household, with children",4938.8477,1,8.15765,0,7,0,0,0,0,0,0,0,0,0,0,56,11,0,0,0
30363,852.8762817382813,6,Three generation household,3676.1506,1,8.1250839,0,4,1,0,0,0,0,0,0,0,0,0,60,12,Женский,0,0
30364,804.8007202148438,5,"Couple household, with children",5379.0029,1,8.4178858,0,7,0,0,0,0,0,0,0,0,0,0,59,11,0,0,0
30366,684.885498046875,4,"Couple household, with children",4900.6689,1,8.3989239,0,6,0,0,0,0,0,0,0,0,0,0,58,11,0,0,0
30368,821.5616455078125,5,"Couple household, with children",5517.3379,1,8.3642101,0,7,0,0,0,0,0,0,0,0,0,0,55,11,0,0,0
30369,723.6527709960938,4,"Couple household, with children",4952.1016,1,8.4661722,0,7,0,0,0,0,0,0,0,0,0,0,51,10,0,0,0
30370,782.8788452148438,6,Three generation household,4116.4331,1,8.051774,0,5,1,0,0,0,0,0,0,0,0,0,78,15,Женский,0,0
30372,772.2034912109375,5,Three generation household,5731.3452,1,8.4062481,0,8,0,1,0,0,0,0,0,0,0,0,65,13,0,0,0
30374,840.8024291992188,3,Other household types,5244.269,1,8.4788828,0,7,1,0,0,0,0,0,0,0,0,0,44,8,Женский,0,0
30376,208.8191986083984,3,"Couple household, with children",7544.6753,1,8.5742617,0,9,0,0,0,0,0,0,0,0,0,1,44,8,0,0,0
30377,219.8325805664063,8,Three generation household,4167.6646,1,8.087636,0,5,0,0,0,0,0,1,0,0,0,1,60,12,0,0,0
30380,221.7178344726563,6,"Couple household, with children",4730.2412,1,8.115428,0,6,0,0,0,0,0,0,0,0,0,1,56,11,0,0,0
30381,211.7514953613281,7,"Couple household, with children",4804.2612,1,7.9805951,0,6,0,0,0,0,0,0,0,0,0,1,53,10,0,0,0
30382,223.7499694824219,5,"Couple household, with children",4714.168,1,8.2076473,0,6,0,0,0,0,0,0,0,0,0,1,56,11,0,0,0
30383,104.3170700073242,1,"One-person household, 60+ years",15077.378,1,8.9318409,0,10,1,0,0,0,0,0,0,0,0,1,67,13,Женский,0,0
30384,237.1203308105469,6,"Couple household, with children",4263.8623,1,8.2118797,0,5,0,0,0,0,0,0,0,0,0,1,57,11,0,0,0
30385,173.5140075683594,2,Single parent/caregiver (<60 years),7852.7363,1,8.4928846,0,9,1,0,0,0,0,0,0,0,0,1,47,9,Женский,0,1
30386,201.1152954101563,5,"Couple household, with children",4279.2866,1,8.1307249,0,5,0,0,0,0,0,0,0,0,0,1,24,4,0,0,0
30387,198.2957153320313,2,Single parent/caregiver (<60 years),9168.9023,1,8.3604193,0,10,1,0,0,0,0,0,0,0,0,1,16,3,Женский,0,0
30388,203.1700134277344,6,"Couple household, with children",5036.4556,1,8.1957045,0,7,0,0,0,0,0,0,0,0,0,1,59,11,0,0,0
30389,94.13947296142578,2,"Couple household, with no children",9654.918,1,8.7932138,0,10,0,1,0,0,0,0,0,0,0,1,66,13,0,0,0
